,index,pool_id,pool_name,volumeUSD
0,4550,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC/ETH 0.05%,364878182761.8539
1,4623,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC/ETH 0.3%,66627344764.67761
2,582,0x11b815efb8f581194ae79006d24e0d814b7697f6,ETH/USDT 0.05%,62218507661.60477
3,1702,0x3416cf6c708da44db2624d63ea0aaef7113527c6,USDC/USDT 0.01%,51933118207.84911
4,2277,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,BTC/ETH 0.05%,48189407145.68769
5,2550,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,ETH/USDT 0.3%,29477538596.052692
6,3200,0x60594a405d53811d3bc4766596efd80fd545a270,DAI/ETH 0.05%,23472306660.178642
7,6776,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,BTC/ETH 0.3%,21362888215.271515
8,3989,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,USDC/USDT 0.05%,13775797583.432615
9,2852,0x5777d92f208679db4b9778590fa3cab3ac9e2168,DAI/USDC 0.01%,13489864354.919819
10,5124,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,BTC/USDC 0.3%,12415434084.894411
11,6483,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI/ETH 0.3%,12151949102.156424
12,7438,0xe0554a476a092703abdb3ef35c80e0d76d32939f,USDC/ETH 0.01%,7693755656.257162
13,5526,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,LINK/ETH 0.3%,7343939361.929182
14,5726,0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf,APE/ETH 0.3%,5912331107.6696615
15,3596,0x6c6bc977e13df9b0de53b251522280bb72383700,DAI/USDC 0.05%,5854718146.310937
16,4676,0x8c54aa2a32a779e6f6fbea568ad85a19e0109c26,FEI/USDC 0.05%,5773595451.947251
17,2452,0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011,ETH/LOOKS 0.3%,5326787368.869838
18,543,0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,wstETH/ETH 0.01%,4861773847.559944
19,986,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,UNI/ETH 0.3%,4496278665.377126
20,3519,0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5,HEX/USDC 0.3%,4396634837.308062
21,6625,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,ETH/USDT 0.01%,4148589127.3557954
22,1357,0x290a6a7460b308ee3f19023d2d00de604bcf5b42,MATIC/ETH 0.3%,3962632955.640077
23,809,0x18d96b617a3e5c42a2ada4bc5d1b48e223f17d0d,USDC/UST 0.01%,3882137287.8847737
24,686,0x151ccb92bc1ed5c6d0f9adb5cec4763ceb66ac7f,ETH2x-FLI/ETH 0.3%,2537943160.6752005
25,5450,0xa3f558aebaecaf0e11ca4b2199cc5ed341edfd74,LDO/ETH 0.3%,2406911879.566108
26,4884,0x92995d179a5528334356cb4dc5c6cbb1c068696c,USDC/UST 0.05%,2382553598.334672
27,6585,0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52,FRAX/USDC 0.05%,2381912484.5422473
28,3678,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,DAI/USDT 0.05%,2202142826.895353
29,4872,0x92560c178ce069cc014138ed3c2f5221ba71f58a,ETH/ENS 0.3%,2096911400.9453475
30,5157,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,BTC/USDC 0.05%,2060946314.1462553
31,1575,0x3019d4e366576a88d28b623afaf3ecb9ec9d9580,AXS/ETH 0.3%,2053900795.73652
32,1554,0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec,SHIB/ETH 0.3%,2041474680.3024437
33,5275,0x9e0905249ceefffb9605e034b534544684a58be6,HEX/ETH 0.3%,1894320646.903155
34,958,0x1c98562a2fab5af19d8fb3291a36ac3c618835d9,Metis/ETH 0.3%,1501632210.7690735
